Function,T_1_1,T_1_3,T_2_1,T_2_3,M1,M2,L
-1,15,15,20,15,-1,-1,-1
-1,15,16,20,15,-1,-1,-1
-1,15,17,20,15,-1,-1,-1
-1,15,18,20,15,-1,-1,-1
-1,15,19,20,15,-1,-1,-1
-1,15,20,20,15,-1,-1,-1
-1,16,15,20,15,-1,-1,-1
-1,16,16,20,15,-1,-1,-1
-1,16,17,20,15,-1,-1,-1
-1,16,18,20,15,-1,-1,-1
-1,16,19,20,15,-1,-1,-1
-1,16,20,20,15,-1,-1,-1
-1,17,15,20,15,-1,-1,-1
-1,17,16,20,15,-1,-1,-1
-1,17,17,20,15,-1,-1,-1
-1,17,18,20,15,-1,-1,-1
-1,17,19,20,15,-1,-1,-1
-1,17,20,20,15,-1,-1,-1
-1,18,15,20,15,-1,-1,-1
-1,18,16,20,15,-1,-1,-1
-1,18,17,20,15,-1,-1,-1
-1,18,18,20,15,-1,-1,-1
-1,18,19,20,15,-1,-1,-1
-1,18,20,20,15,-1,-1,-1
-1,19,15,20,15,-1,-1,-1
-1,19,16,20,15,-1,-1,-1
-1,19,17,20,15,-1,-1,-1
-1,19,18,20,15,-1,-1,-1
-1,19,19,20,15,-1,-1,-1
-1,19,20,20,15,-1,-1,-1
-1,20,15,20,15,-1,-1,-1
-1,20,16,20,15,-1,-1,-1
-1,20,17,20,15,-1,-1,-1
-1,20,18,20,15,-1,-1,-1
-1,20,19,20,15,-1,-1,-1
-1,20,20,20,15,-1,-1,-1
17.2167,17,17,15,18,17.2347,17.1998,0.631826
17.2189,19,17,15,18,17.2625,17.1779,0.574623
17.2618,17,18,18,17,15.5922,18.8304,0.572678
17.3566,17,18,15,16,15.1248,19.4532,0.540105
17.3706,18,18,19,17,14.8486,19.7398,0.570745
17.4214,19,17,19,17,14.5739,20.0965,0.565273
17.5381,17,17,15,19,17.2427,17.8156,0.573715
17.5477,17,17,17,17,16.2586,18.7587,0.571619
17.5511,17,17,16,19,16.2653,18.759,0.565499
17.6251,18,19,17,20,15.8239,19.3171,0.574086
17.6806,17,17,19,17,14.4017,20.7609,0.570739
17.6892,18,18,15,18,17.0905,18.2516,0.552695
17.7082,17,18,17,18,14.4431,20.7755,0.578876
17.7391,17,17,16,18,15.9374,19.4318,0.583847
17.7502,18,17,19,17,15.0662,20.2716,0.564302
