Function,T_1_1,T_1_3,T_2_1,T_2_3,M1,M2,L
-1,15,15,15,25,-1,-1,-1
-1,15,15,15,26,-1,-1,-1
-1,15,15,15,27,-1,-1,-1
-1,15,15,15,28,-1,-1,-1
-1,15,15,15,29,-1,-1,-1
-1,15,15,15,30,-1,-1,-1
-1,15,16,15,25,-1,-1,-1
-1,15,16,15,26,-1,-1,-1
-1,15,16,15,27,-1,-1,-1
-1,15,16,15,28,-1,-1,-1
-1,15,16,15,29,-1,-1,-1
-1,15,16,15,30,-1,-1,-1
-1,15,17,15,25,-1,-1,-1
-1,15,17,15,26,-1,-1,-1
-1,15,17,15,27,-1,-1,-1
-1,15,17,15,28,-1,-1,-1
-1,15,17,15,29,-1,-1,-1
-1,15,17,15,30,-1,-1,-1
-1,15,18,15,25,-1,-1,-1
-1,15,18,15,26,-1,-1,-1
-1,15,18,15,27,-1,-1,-1
-1,15,18,15,28,-1,-1,-1
-1,15,18,15,29,-1,-1,-1
-1,15,18,15,30,-1,-1,-1
-1,15,19,15,25,-1,-1,-1
-1,15,19,15,26,-1,-1,-1
-1,15,19,15,27,-1,-1,-1
-1,15,19,15,28,-1,-1,-1
-1,15,19,15,29,-1,-1,-1
-1,15,19,15,30,-1,-1,-1
-1,15,20,15,25,-1,-1,-1
-1,15,20,15,26,-1,-1,-1
-1,15,20,15,27,-1,-1,-1
-1,15,20,15,28,-1,-1,-1
-1,15,20,15,29,-1,-1,-1
-1,15,20,15,30,-1,-1,-1
-1,15,21,15,25,-1,-1,-1
-1,15,21,15,26,-1,-1,-1
-1,15,21,15,27,-1,-1,-1
-1,15,21,15,28,-1,-1,-1
-1,15,21,15,29,-1,-1,-1
-1,15,21,15,30,-1,-1,-1
-1,15,22,15,25,-1,-1,-1
-1,15,22,15,26,-1,-1,-1
-1,15,22,15,27,-1,-1,-1
-1,15,22,15,28,-1,-1,-1
-1,15,22,15,29,-1,-1,-1
-1,15,22,15,30,-1,-1,-1
-1,15,23,15,25,-1,-1,-1
-1,15,23,15,26,-1,-1,-1
-1,15,23,15,27,-1,-1,-1
-1,15,23,15,28,-1,-1,-1
-1,15,23,15,29,-1,-1,-1
-1,15,23,15,30,-1,-1,-1
-1,15,24,15,25,-1,-1,-1
-1,15,24,15,26,-1,-1,-1
-1,15,24,15,27,-1,-1,-1
-1,15,24,15,28,-1,-1,-1
-1,15,24,15,29,-1,-1,-1
-1,15,24,15,30,-1,-1,-1
