Function,T_1_1,T_1_3,T_2_1,T_2_3,M1,M2,L
18.9323,16,21,21,17,19.0341,18.833,0.664039
18.944,16,21,17,17,21.1364,16.8083,0.667299
19.0499,16,25,28,18,20.9966,17.1536,0.654032
19.1101,16,21,17,18,22.1681,16.131,0.656148
19.1113,20,25,17,17,20.3571,17.8978,0.649474
19.1729,16,21,19,17,19.8851,18.4791,0.656809
19.2005,16,21,21,18,19.3292,19.0752,0.671177
19.2383,16,22,16,15,20.659,17.8544,0.65402
19.4043,16,26,20,17,23.8798,15.0444,0.658293
19.4072,16,25,20,17,23.8103,15.118,0.659439
19.4138,16,25,18,15,23.7431,15.1966,0.668009
19.4559,16,21,16,18,21.8474,17.1262,0.664592
19.5029,20,25,29,18,18.18,20.7917,0.659976
19.5122,20,25,16,16,20.7012,18.354,0.655328
19.5168,17,25,29,17,21.0439,18.0293,0.678125
19.5426,16,25,20,15,21.7933,17.3501,0.658594
19.5508,20,25,29,17,18.63,20.4478,0.662559
19.5591,20,29,28,17,21.3889,17.7767,0.658114
19.5663,16,21,25,17,19.3476,19.7794,0.67931
19.5804,17,21,21,15,19.7792,19.3868,0.654928
19.5942,16,17,17,17,18.7896,20.3779,0.655523
19.6479,17,25,21,15,21.0578,18.2745,0.659963
19.6957,16,25,20,16,22.2043,17.2519,0.658667
19.7103,17,23,16,15,19.8924,19.5328,0.64695
19.7649,16,21,24,18,19.0008,20.5091,0.667191
19.7737,20,25,24,22,19.9648,19.5874,0.661383
19.7754,21,29,24,21,22.3682,17.2497,0.659009
19.7971,16,21,16,17,22.6879,16.9811,0.677333
19.8265,16,17,17,18,19.0374,20.5952,0.662264
19.828,20,25,20,25,22.0879,17.6265,0.66078
19.8353,16,17,24,18,16.1475,23.4278,0.667778
19.8354,17,21,20,16,18.6683,20.9723,0.652715
19.8432,16,25,25,17,23.6473,16.1376,0.67145
19.8466,16,21,23,17,20.56,19.1517,0.666352
