Function,T_1_1,T_1_3,T_2_1,T_2_3,M1,M2,L
-1,15,15,20,15,-1,-1,-1
-1,15,16,20,15,-1,-1,-1
-1,15,17,20,15,-1,-1,-1
-1,15,18,20,15,-1,-1,-1
-1,15,19,20,15,-1,-1,-1
-1,15,20,20,15,-1,-1,-1
-1,16,15,20,15,-1,-1,-1
-1,16,16,20,15,-1,-1,-1
-1,16,17,20,15,-1,-1,-1
-1,16,18,20,15,-1,-1,-1
-1,16,19,20,15,-1,-1,-1
-1,16,20,20,15,-1,-1,-1
-1,17,15,20,15,-1,-1,-1
-1,17,16,20,15,-1,-1,-1
-1,17,17,20,15,-1,-1,-1
-1,17,18,20,15,-1,-1,-1
-1,17,19,20,15,-1,-1,-1
-1,17,20,20,15,-1,-1,-1
-1,18,15,20,15,-1,-1,-1
-1,18,16,20,15,-1,-1,-1
-1,18,17,20,15,-1,-1,-1
-1,18,18,20,15,-1,-1,-1
-1,18,19,20,15,-1,-1,-1
-1,18,20,20,15,-1,-1,-1
-1,19,15,20,15,-1,-1,-1
-1,19,16,20,15,-1,-1,-1
-1,19,17,20,15,-1,-1,-1
-1,19,18,20,15,-1,-1,-1
-1,19,19,20,15,-1,-1,-1
-1,19,20,20,15,-1,-1,-1
-1,20,15,20,15,-1,-1,-1
-1,20,16,20,15,-1,-1,-1
-1,20,17,20,15,-1,-1,-1
-1,20,18,20,15,-1,-1,-1
-1,20,19,20,15,-1,-1,-1
-1,20,20,20,15,-1,-1,-1
13.6133,17,20,19,18,12.4776,14.6802,0.56138
14.2319,17,20,15,16,15.4129,13.1225,0.595181
14.7311,19,18,18,15,7.71915,21.3184,0.572292
14.9836,15,18,15,16,17.9622,12.1855,0.567413
15.0096,17,17,20,17,15.8374,14.2318,0.584619
15.0585,20,16,17,17,11.3989,18.4965,0.589389
15.0612,19,17,15,17,14.7329,15.3696,0.58234
15.0739,20,20,19,17,15.0156,15.1287,0.572924
15.1997,17,18,18,17,14.4466,15.9072,0.594326
15.2932,19,17,18,16,11.5617,18.7987,0.624
15.3103,17,19,20,20,14.3691,16.1945,0.558732
15.3315,19,19,20,18,16.6769,14.0675,0.540084
15.3515,17,19,15,17,15.4645,15.2454,0.566156
15.3697,17,20,18,17,14.7532,15.9489,0.571698
15.4561,20,18,17,19,13.6398,17.1624,0.561575
