Function,T_1_1,T_1_3,T_2_1,T_2_3,M1,M2,L
-1,15,15,20,15,-1,-1,-1
-1,15,16,20,15,-1,-1,-1
-1,15,17,20,15,-1,-1,-1
-1,15,18,20,15,-1,-1,-1
-1,15,19,20,15,-1,-1,-1
-1,15,20,20,15,-1,-1,-1
-1,15,21,20,15,-1,-1,-1
-1,15,22,20,15,-1,-1,-1
-1,15,23,20,15,-1,-1,-1
-1,15,24,20,15,-1,-1,-1
-1,15,25,20,15,-1,-1,-1
-1,15,15,21,15,-1,-1,-1
-1,15,16,21,15,-1,-1,-1
-1,15,17,21,15,-1,-1,-1
-1,15,18,21,15,-1,-1,-1
-1,15,19,21,15,-1,-1,-1
-1,15,20,21,15,-1,-1,-1
-1,15,21,21,15,-1,-1,-1
-1,15,22,21,15,-1,-1,-1
-1,15,23,21,15,-1,-1,-1
-1,15,24,21,15,-1,-1,-1
-1,15,25,21,15,-1,-1,-1
-1,15,15,22,15,-1,-1,-1
-1,15,15,22,16,-1,-1,-1
-1,15,16,22,15,-1,-1,-1
-1,15,16,22,16,-1,-1,-1
-1,15,17,22,15,-1,-1,-1
-1,15,17,22,16,-1,-1,-1
-1,15,18,22,15,-1,-1,-1
-1,15,18,22,16,-1,-1,-1
-1,15,19,22,15,-1,-1,-1
-1,15,19,22,16,-1,-1,-1
-1,15,20,22,15,-1,-1,-1
-1,15,20,22,16,-1,-1,-1
-1,15,21,22,15,-1,-1,-1
-1,15,21,22,16,-1,-1,-1
-1,15,22,22,15,-1,-1,-1
-1,15,22,22,16,-1,-1,-1
-1,15,23,22,15,-1,-1,-1
-1,15,23,22,16,-1,-1,-1
-1,15,24,22,15,-1,-1,-1
-1,15,24,22,16,-1,-1,-1
-1,15,25,22,15,-1,-1,-1
-1,15,25,22,16,-1,-1,-1
-1,15,15,23,15,-1,-1,-1
-1,15,15,23,16,-1,-1,-1
-1,15,16,23,15,-1,-1,-1
-1,15,16,23,16,-1,-1,-1
-1,15,17,23,15,-1,-1,-1
-1,15,17,23,16,-1,-1,-1
-1,15,18,23,15,-1,-1,-1
-1,15,18,23,16,-1,-1,-1
-1,15,19,23,15,-1,-1,-1
-1,15,19,23,16,-1,-1,-1
-1,15,20,23,15,-1,-1,-1
-1,15,20,23,16,-1,-1,-1
-1,15,21,23,15,-1,-1,-1
