Function,T_1_1,T_1_3,T_2_1,T_2_3,M1,M2,L
-1,15,15,20,15,-1,-1,-1
-1,15,16,20,15,-1,-1,-1
-1,15,17,20,15,-1,-1,-1
-1,15,18,20,15,-1,-1,-1
-1,15,19,20,15,-1,-1,-1
-1,15,20,20,15,-1,-1,-1
-1,16,15,20,15,-1,-1,-1
-1,16,16,20,15,-1,-1,-1
-1,16,17,20,15,-1,-1,-1
-1,16,18,20,15,-1,-1,-1
-1,16,19,20,15,-1,-1,-1
-1,16,20,20,15,-1,-1,-1
-1,17,15,20,15,-1,-1,-1
-1,17,16,20,15,-1,-1,-1
-1,17,17,20,15,-1,-1,-1
-1,17,18,20,15,-1,-1,-1
-1,17,19,20,15,-1,-1,-1
-1,17,20,20,15,-1,-1,-1
-1,18,15,20,15,-1,-1,-1
-1,18,16,20,15,-1,-1,-1
-1,18,17,20,15,-1,-1,-1
-1,18,18,20,15,-1,-1,-1
-1,18,19,20,15,-1,-1,-1
-1,18,20,20,15,-1,-1,-1
-1,19,15,20,15,-1,-1,-1
-1,19,16,20,15,-1,-1,-1
-1,19,17,20,15,-1,-1,-1
-1,19,18,20,15,-1,-1,-1
-1,19,19,20,15,-1,-1,-1
-1,19,20,20,15,-1,-1,-1
-1,20,15,20,15,-1,-1,-1
-1,20,16,20,15,-1,-1,-1
-1,20,17,20,15,-1,-1,-1
-1,20,18,20,15,-1,-1,-1
-1,20,19,20,15,-1,-1,-1
-1,20,20,20,15,-1,-1,-1
16.2413,19,17,19,17,12.5819,19.6792,0.617406
16.2451,17,17,17,17,15.4345,17.0066,0.575074
16.2713,17,19,15,18,15.2406,17.2396,0.576816
16.451,17,17,19,18,12.926,19.7625,0.570337
16.7359,17,19,19,18,16.0127,17.4153,0.561065
16.8287,19,17,15,15,14.1882,19.3093,0.572242
16.8942,15,15,19,19,15.6827,18.0324,0.66237
16.9809,18,18,19,18,15.0376,18.8064,0.571589
16.982,18,19,15,18,18.4566,15.5968,0.554883
17.0643,18,17,15,19,17.4303,16.7205,0.561728
17.0772,17,17,15,18,17.628,16.5597,0.560748
17.179,17,18,17,15,13.819,20.3355,0.567161
17.1815,17,17,15,16,15.6933,18.5796,0.579003
17.1858,19,19,16,17,16.045,18.2575,0.567835
17.1858,20,17,19,17,14.5697,19.6434,0.569921
