Function,T_1_1,T_1_3,T_2_1,T_2_3,M1,M2,L
-1,15,15,20,15,-1,-1,-1
-1,15,16,20,15,-1,-1,-1
-1,15,17,20,15,-1,-1,-1
-1,15,18,20,15,-1,-1,-1
-1,15,19,20,15,-1,-1,-1
-1,15,20,20,15,-1,-1,-1
-1,16,15,20,15,-1,-1,-1
-1,16,16,20,15,-1,-1,-1
-1,16,17,20,15,-1,-1,-1
-1,16,18,20,15,-1,-1,-1
-1,16,19,20,15,-1,-1,-1
-1,16,20,20,15,-1,-1,-1
-1,17,15,20,15,-1,-1,-1
-1,17,16,20,15,-1,-1,-1
-1,17,17,20,15,-1,-1,-1
-1,17,18,20,15,-1,-1,-1
-1,17,19,20,15,-1,-1,-1
-1,17,20,20,15,-1,-1,-1
-1,18,15,20,15,-1,-1,-1
-1,18,16,20,15,-1,-1,-1
-1,18,17,20,15,-1,-1,-1
-1,18,18,20,15,-1,-1,-1
-1,18,19,20,15,-1,-1,-1
-1,18,20,20,15,-1,-1,-1
-1,19,15,20,15,-1,-1,-1
-1,19,16,20,15,-1,-1,-1
-1,19,17,20,15,-1,-1,-1
-1,19,18,20,15,-1,-1,-1
-1,19,19,20,15,-1,-1,-1
-1,19,20,20,15,-1,-1,-1
-1,20,15,20,15,-1,-1,-1
-1,20,16,20,15,-1,-1,-1
-1,20,17,20,15,-1,-1,-1
-1,20,18,20,15,-1,-1,-1
-1,20,19,20,15,-1,-1,-1
-1,20,20,20,15,-1,-1,-1
16.9044,17,17,17,17,14.9489,18.7415,0.56897
17.4219,18,17,18,17,14.4779,20.1877,0.562357
17.5381,17,18,17,18,14.9894,19.9325,0.58358
17.5782,18,17,17,17,15.1176,19.8898,0.628505
17.6721,17,17,16,18,16.5755,18.7024,0.537313
17.7834,18,17,15,19,16.6561,18.8425,0.56307
17.8392,17,18,18,17,16.3489,19.2393,0.561929
17.8787,18,18,18,17,14.9322,20.6468,0.556498
18.0275,19,17,17,17,15.5569,20.3484,0.59169
18.0798,17,18,17,17,16.0894,19.9497,0.577255
18.088,17,18,15,18,16.9847,19.1246,0.581205
18.117,18,17,17,18,15.1291,20.9239,0.551599
18.1238,17,18,19,18,15.0412,21.0197,0.586482
18.1385,17,19,17,17,16.4815,19.6952,0.582885
18.1678,18,19,18,19,15.5346,20.6415,0.568652
